"MacBookPro15,4",MUHN2LL/A,9263,1.4 GHz Core i5 (I5-8257U),Intel Iris Plus Graphics 645,2019,,61W  USB C,A2159,3301,13.3,A2171
"MacBookPro15,4",MUHN2LL/A BTO,9264,1.7 GHz Core i7 (I7-8557U),Intel Iris Plus Graphics 645,2019,,61W  USB C,A2159,3301,13.3,A2171
"MacBookPro16,1",MVVL2LL/A,9265,2.6 GHz Core i7 (I7-9750H),AMD Radeon Pro 5300M,2019,Intel UHD Graphics 630,85W USB C,A2141,3347,16,A2113
"MacBookPro16,1",MVVM2LL/A,9266,2.3 GHz Core i9 (I9-9880H),AMD Radeon Pro 5500M,2019,Intel UHD Graphics 630,85W USB C,A2141,3347,16,A2113
"MacBookPro16,1",MVVL2LL/A BTO,9267,2.4 GHz Core i9 (I9-9980HK),AMD Radeon Pro 5300M,2019,Intel UHD Graphics 630,85W USB C,A2141,3347,16,A2113
"MacBookPro16,1",MVVM2LL/A BTO,9268,2.4 GHz Core i9 (I9-9980HK),AMD Radeon Pro 5500M,2019,Intel UHD Graphics 630,85W USB C,A2141,3347,16,A2113
"MacBookPro15,2",MR9Q2LL/A,9280,2.3 GHz Core i5 (I5-8259U),Intel Iris Plus Graphics 655,2018,,61W  USB C,A1989,3214,13.3,A1964
"MacBookPro15,2",MR9Q2LL/A BTO,9281,2.7 GHz Core i7 (I7-8559U),Intel Iris Plus Graphics 655,2018,,61W  USB C,A1989,3214,13.3,A1964
"MacBookPro15,1",MR932LL/A,9282,2.2 GHz Core i7 (I7-8750H),AMD Radeon Pro 555X,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,1",MR932LL/A BTO 2.9,9283,2.9 GHz Core i9 (I9-8950HK),AMD Radeon Pro 555X,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,1",MR942LL/A,9284,2.6 GHz Core i7 (I7-8850H),AMD Radeon Pro 560X,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,1",MR942LL/A BTO 2.9,9285,2.9 GHz Core i9 (I9-8950HK),AMD Radeon Pro 560X,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,3",MR942LL/A BTO 2.6 Vega 16,9287,2.6 GHz Core i7 (I7-8850H),AMD Radeon Pro Vega 16,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,3",MR942LL/A BTO 2.6 Vega 20,9288,2.6 GHz Core i7 (I7-8850H),AMD Radeon Pro Vega 20,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,3",MR942LL/A BTO 2.9 Vega 16,9289,2.9 GHz Core i9 (I9-8950HK),AMD Radeon Pro Vega 16,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,3",MR942LL/A BTO 2.9 Vega 20,9290,2.9 GHz Core i9 (I9-8950HK),AMD Radeon Pro Vega 20,2018,Intel UHD Graphics 630,85W USB C,A1990,3215,15.4,A1953
"MacBookPro15,2",MV962LL/A,9291,2.4 GHz Core i5 (I5-8279U),Intel Iris Plus Graphics 655,2019,,61W  USB C,A1989,3358,13.3,A1964
"MacBookPro15,2",MV962LL/A BTO,9292,2.8 GHz Core i7 (I7-8569U),Intel Iris Plus Graphics 655,2019,,61W  USB C,A1989,3358,13.3,A1964
"MacBookPro15,1",MV902LL/A,9293,2.6 GHz Core i7 (I7-9750H),AMD Radeon Pro 555X,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro15,1",MV912LL/A,9294,2.3 GHz Core i9 (I9-9880H),AMD Radeon Pro 560X,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro15,3",MV912LL/A BTO 2.3 Vega 16,9295,2.3 GHz Core i9 (I9-9880H),AMD Radeon Pro Vega 16,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro15,3",MV912LL/A BTO 2.3 Vega 20,9296,2.3 GHz Core i9 (I9-9880H),AMD Radeon Pro Vega 20,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro15,1",MV902LL/A BTO,9297,2.4 GHz Core i9 (I9-9980HK),AMD Radeon Pro 555X,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro15,1",MV912LL/A BTO 2.4,9298,2.4 GHz Core i9 (I9-9980HK),AMD Radeon Pro 560X,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro15,3",MV912LL/A BTO 2.4 Vega 16,9299,2.4 GHz Core i9 (I9-9980HK),AMD Radeon Pro Vega 16,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
"MacBookPro9,2",MD101LL/A,9311,2.5 GHz Core i5 (I5-3210M),Intel HD Graphics 4000,2012,,60W,A1278,2554,13.3,A1322
"MacBookPro9,2",MD102LL/A,9312,2.9 GHz Core i7 (I7-3520M),Intel HD Graphics 4000,2012,,85W,A1278,2554,13.3,A1322
"MacBookPro9,1",MD103LL/A,9313,2.3 GHz Core i7 (I7-3615QM),NVIDIA GeForce GT 650M,2012,Intel HD Graphics 4000,85W,A1286,2556,15.4,A1382
"MacBookPro9,1",MD104LL/A,9314,2.6 GHz Core i7 (I7-3720QM),NVIDIA GeForce GT 650M,2012,Intel HD Graphics 4000,85W,A1286,2556,15.4,A1382
"MacBookPro8,1",MD313LL/A,9315,2.4 GHz Core i5 (I5-2435M),Intel HD Graphics 3000,2011,,60W,A1278,2555,13.3,A1280
"MacBookPro8,1",MD314LL/A,9316,2.8 GHz Core i7 (I7-2640M),Intel HD Graphics 3000,2011,,60W,A1278,2555,13.3,A1280
"MacBookPro8,2",MD318LL/A,9317,2.2 GHz Core i7 (I7-2675QM),AMD Radeon HD 6750M,2011,Intel HD Graphics 3000,85W,A1286,2563,15.4,A1382
"MacBookPro8,2",MD322LL/A,9318,2.4 GHz Core i7 (I7-2760QM),AMD Radeon HD 6770M,2011,Intel HD Graphics 3000,85W,A1286,2563,15.4,A1382
"MacBookPro8,2",MD322LL/A BTO,9319,2.5 GHz Core i7 (I7-2860QM),AMD Radeon HD 6770M,2011,Intel HD Graphics 3000,85W,A1286,2563,15.4,A1382
"MacBookPro8,3",MD311LL/A,9320,2.4 GHz Core i7 (I7-2760QM),AMD Radeon HD 6770M,2011,Intel HD Graphics 3000,85W,A1297,2564,17,A1383
"MacBookPro8,3",MD311LL/A BTO,9321,2.5 GHz Core i7 (I7-2860QM),AMD Radeon HD 6770M,2011,Intel HD Graphics 3000,85W,A1297,2564,17,A1383
"MacBookPro8,1",MC700LL/A,9322,2.3 GHz Core i5 (I5-2415M),HD Graphics 3000,2011,,60W,A1278,2419,13.3,A1280
"MacBookPro8,1",MC724LL/A,9323,2.7 GHz Core i7 (I7-2620M),HD Graphics 3000,2011,,60W,A1278,2419,13.3,A1280
"MacBookPro8,2",MC721LL/A,9324,2.0 GHz Core i7 (I7-2635QM),AMD Radeon HD 6490M,2011,Intel HD Graphics 3000,85W,A1286,2353-1,15.4,A1382
"MacBookPro8,2",MC723LL/A,9325,2.2 GHz Core i7 (I7-2720QM),AMD Radeon HD 6750M,2011,Intel HD Graphics 3000,85W,A1286,2353-1,15.4,A1382
"MacBookPro8,3",MC725LL/A,9326,2.2 GHz Core i7 (I7-2720QM),AMD Radeon HD 6750M,2011,Intel HD Graphics 3000,85W,A1297,2352-1,17,A1383
"MacBookPro8,3",MC725LL/A BTO,9327,2.3 GHz Core i7 (I7-2820QM),AMD Radeon HD 6750M,2011,Intel HD Graphics 3000,85W,A1297,2352-1,17,A1383
"MacBookPro8,2",MD035LL/A,9328,2.3 GHz Core i7 (I7-2820QM),AMD Radeon HD 6750M,2011,Intel HD Graphics 3000,85W,A1286,2353-1,15.4,A1382
"MacBookPro9,1",MD546LL/A,9329,2.7 GHz Core i7 (I7-3820QM),NVIDIA GeForce GT 650M,2012,Intel HD Graphics 4000,85W,A1286,2556,15.4,A1382
"MacBookPro16,2",MWP72LL/A,9333,2.0 GHz Core i5 (I5-1038NG7),Intel Iris Plus,2020,,61W  USB C,A2251,3348,13.3,A1964
"MacBookPro16,2",MWP72LL/A BTO,9334,2.3 GHz Core i7 (I7-1068NG7),Intel Iris Plus,2020,,61W  USB C,A2251,3348,13.3,A1964
"MacBook8,1",MF855LL/A,9362,1.1 GHz Core M (M-5Y31),Intel HD Graphics 5300,2015,,61W  USB C,A1534,2746,12,A1527
"MacBook8,1",MF865LL/A,9363,1.2 GHz Core M (M-5Y51),Intel HD Graphics 5300,2015,,61W  USB C,A1534,2746,12,A1527
"MacBook8,1",MF865LL/A BTO,9364,1.3 GHz Core M (M-5Y71),Intel HD Graphics 530,2015,,61W  USB C,A1534,2746,12,A1527
"MacBook9,1",MLHA2LL/A,9365,1.1 GHz Core m3 (M3-6Y30),Intel HD Graphics 515,2016,,61W  USB C,A1534,2991,12,A1527
"MacBook9,1",MLHC2LL/A,9366,1.2 GHz Core m5 (M5-6Y54),Intel HD Graphics 515,2016,,61W  USB C,A1534,2991,12,A1527
"MacBook9,1",MLHC2LL/A BTO,9367,1.3 GHz Core m7 (M7-6Y75),Intel HD Graphics 515,2016,,61W  USB C,A1534,2991,12,A1527
"MacBook10,1",MNYF2LL/A,9368,1.2 GHz Core m3 (M3-7Y32),Intel HD Graphics 615,2017,,61W  USB C,A1534,3099,12,A1705
"MacBook10,1",MNYG2LL/A,9369,1.3 GHz Core i5 (I5-7Y54),Intel HD Graphics 615,2017,,61W  USB C,A1534,3099,12,A1705
"MacBook10,1",MNYG2LL/A BTO,9370,1.4 GHz Core i7 (I7-7Y75),Intel HD Graphics 615,2017,,61W  USB C,A1534,3099,12,A1705
"MacBookAir3,2",MC905LL/A,9371,2.13 GHz Core 2 Duo (SL9600),NVIDIA GeForce 320M,2010,,60W,A1369,2392,13.3,A1496
"MacBookPro7,1",MC374LL/A,9372,2.4 GHz Core 2 Duo (P8600),NVIDIA GeForce 320M,2010,,60W,A1278,2351,13.3,A1280
"MacBookAir3,1",MC505LL/A,9373,1.4 GHz Core 2 Duo (SU9400),NVIDIA GeForce 320M,2010,,60W,A1370,2393,11,A1375
"MacBookPro7,1",MC375LL/A,9374,2.66 GHz Core 2 Duo (P8800),NVIDIA GeForce 320M,2010,,60W,A1278,2351,13.3,A1280
"MacBookPro6,2",MC373LL/A,9375,2.66 GHz Core i7 (I7-620M),NVIDIA GeForce GT 330M,2010,,80W,A1286,2353,15.4,A1382
"iMac8,1",MB325LL/A,9611,2.8 GHz Core 2 Duo (E8235),ATI Radeon HD 2600 PRO,2008,,,A1224,2211,,
