"iMac19,1",I5-9600K,AMD Radeon Pro 580X,
"iMac19,1",I9-9900K,AMD Radeon Pro 575X or Radeon Pro 580X,
"iMac20,1",I5-10500,AMD Radeon Pro 5300,
"iMac20,1",I5-10600,AMD Radeon Pro 5300,
"iMac20,1",I7-10700K,AMD Radeon Pro 5500 XT,
"iMac20,1",I9-10910,AMD Radeon Pro 5300/5500 XT,
"iMac20,2",I7-10700K,AMD Radeon Pro 5700/5700 XT,
"iMac20,2",I9-10910,AMD Radeon Pro 5700/5700 XT,
"Macmini5,1",I5-2415M,Intel HD Graphics 3000,
"Macmini5,2",I5-2520M,AMD Radeon HD 6630M,
"Macmini5,2",I7-2620M,AMD Radeon HD 6630M,
"Macmini5,3",I7-2635QM,Intel HD Graphics 3000,
"Macmini6,1",I5-3210M,Intel HD Graphics 4000,
"Macmini6,2",I7-3615QM,Intel HD Graphics 4000,
"Macmini6,2",I7-3720QM,Intel HD Graphics 4000,
"Macmini6,2",I7-3615QM,Intel HD Graphics 4000,
"Macmini6,2",I7-3720QM,Intel HD Graphics 4000,
"Macmini7,1",I5-4260U,Intel HD Graphics 5000,
"Macmini7,1",I5-4278U,Intel Iris 5100,
"Macmini7,1",I5-4308U,Intel Iris 5100,
"Macmini7,1",I7-4578U,Intel Iris 5100,
"Macmini8,1",I3-8100B,Intel UHD Graphics 630,
"Macmini8,1",I5-8500B,Intel UHD Graphics 630,
"Macmini8,1",I7-8700B,Intel UHD Graphics 630,
"Macmini9,1",3.2 GHz Apple M1 8-Core,Apple 8-Core,
"MacBookPro16,3",I5-8257U,Intel Iris Plus Graphics 645,
"MacBookPro16,3",I7-8557U,Intel Iris Plus Graphics 645,
"MacBookPro16,4",I9-9880H,AMD Radeon Pro 5600M,
"MacBookPro16,4",I9-9980HK,AMD Radeon Pro 5600M,
"MacBookPro16,4",I7-9750H,AMD Radeon Pro 5600M,
"MacBookAir10,1",3.2 GHz Apple M1 8-Core,Apple 8-Core,
"MacBookPro17,1",3.2 GHz Apple M1 8-Core,Apple 8-Core,
"MacBookAir10,1",3.2 GHz Apple M1 8-Core,Apple 7-Core,
"MacBookPro18,4",3.2 GHz Apple M1 Max 10-Core,Apple 24-Core,
"MacBookPro18,4",3.2 GHz Apple M1 Max 10-Core,Apple 32-Core,
"iMac19,2",I3-8100,AMD Radeon Pro 555X,
"MacBookPro18,3",3.2 GHz Apple M1 Pro 8-Core,Apple 14-Core,
"MacBookPro18,3",3.2 GHz Apple M1 Pro 10-Core,Apple 14-Core,
"MacBookPro18,3",3.2 GHz Apple M1 Pro 10-Core,Apple 16-Core,
"MacBookPro18,1",3.2 GHz Apple M1 Pro 10-Core,Apple 16-Core,
"MacBookPro18,2",3.2 GHz Apple M1 Max 10-Core,Apple 24-Core,
